sample,overall,concordant
140327_I481_FCC3P1PACXX_L2_Pool_1_E05_UV,67.21%,54.47%
140327_I481_FCC3P1PACXX_L2_Pool_1_E05_VIS,68.05%,55.55%
140327_I481_FCC3P1PACXX_L2_Pool_1_PA_UV1,89.68%,81.89%
140327_I481_FCC3P1PACXX_L2_Pool_1_PA_VIS1,88.57%,80.55%
140327_I481_FCC3P1PACXX_L2_Pool_1_R2_UV,68.34%,55.61%
140327_I481_FCC3P1PACXX_L2_Pool_1_R2_VIS,68.24%,56.10%
140327_I481_FCC3P1PACXX_L2_Pool_1_Sierra_UV,71.59%,59.33%
140327_I481_FCC3P1PACXX_L2_Pool_1_Sierra_VIS,71.18%,59.20%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y023_5_UV,68.21%,55.53%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y023_5_VIS,67.91%,54.73%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y05_UV,68.18%,55.28%
140327_I481_FCC3P1PACXX_L2_Pool_1_Y05_VIS,67.75%,54.98%
140327_I481_FCC3P1PACXX_L3_Pool_2_E05_UV,66.78%,54.18%
140327_I481_FCC3P1PACXX_L3_Pool_2_E05_VIS,68.23%,55.31%
140327_I481_FCC3P1PACXX_L3_Pool_2_PA_UV2,88.68%,79.84%
140327_I481_FCC3P1PACXX_L3_Pool_2_PA_VIS2,89.44%,81.27%
140327_I481_FCC3P1PACXX_L3_Pool_2_R2_UV,69.05%,56.27%
140327_I481_FCC3P1PACXX_L3_Pool_2_R2_VIS,68.23%,55.51%
140327_I481_FCC3P1PACXX_L3_Pool_2_Sierra_UV,70.73%,58.02%
140327_I481_FCC3P1PACXX_L3_Pool_2_Sierra_VIS,70.41%,58.07%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y023_5_UV,66.42%,54.13%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y023_5_VIS,67.04%,53.74%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y05_UV,68.35%,55.70%
140327_I481_FCC3P1PACXX_L3_Pool_2_Y05_VIS,68.50%,55.86%
140327_I481_FCC3P1PACXX_L4_Pool_3_E05_UV,69.60%,56.90%
140327_I481_FCC3P1PACXX_L4_Pool_3_E05_VIS,67.18%,54.43%
140327_I481_FCC3P1PACXX_L4_Pool_3_PA_UV3,89.40%,81.06%
140327_I481_FCC3P1PACXX_L4_Pool_3_PA_VIS3,89.37%,81.18%
140327_I481_FCC3P1PACXX_L4_Pool_3_R2_UV,68.59%,55.98%
140327_I481_FCC3P1PACXX_L4_Pool_3_R2_VIS,70.00%,57.87%
140327_I481_FCC3P1PACXX_L4_Pool_3_Sierra_UV,72.23%,60.50%
140327_I481_FCC3P1PACXX_L4_Pool_3_Sierra_VIS,72.90%,61.16%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y023_5_UV,67.54%,54.65%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y023_5_VIS,67.67%,54.75%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y05_UV,67.99%,55.53%
140327_I481_FCC3P1PACXX_L4_Pool_3_Y05_VIS,68.70%,56.51%
