sample,treatment,tolerance
Y05_VIS_Pool1,VIS,tol
Y05_VIS_Pool2,VIS,tol
Y05_VIS_Pool3,VIS,tol
Y05_UV_Pool1,UV,tol
Y05_UV_Pool2,UV,tol
Y05_UV_Pool3,UV,tol
Y023_5_VIS_Pool1,VIS,tol
Y023_5_VIS_Pool2,VIS,tol
Y023_5_VIS_Pool3,VIS,tol
Y023_5_UV_Pool1,UV,tol
Y023_5_UV_Pool2,UV,tol
Y023_5_UV_Pool3,UV,tol
E05_VIS_Pool1,VIS,nTol
E05_VIS_Pool2,VIS,nTol
E05_VIS_Pool3,VIS,nTol
E05_UV_Pool1,UV,nTol
E05_UV_Pool2,UV,nTol
E05_UV_Pool3,UV,nTol
R2_VIS_Pool1,VIS,nTol
R2_VIS_Pool2,VIS,nTol
R2_VIS_Pool3,VIS,nTol
R2_UV_Pool1,UV,nTol
R2_UV_Pool2,UV,nTol
R2_UV_Pool3,UV,nTol
