sample,treatment,replicate,genotype
Y05_VIS_Pool1,2,1,1
Y05_VIS_Pool2,2,2,1
Y05_VIS_Pool3,2,3,1
Y05_UV_Pool1,1,1,1
Y05_UV_Pool2,1,2,1
Y05_UV_Pool3,1,3,1
Y023_5_VIS_Pool1,2,1,2
Y023_5_VIS_Pool2,2,2,2
Y023_5_VIS_Pool3,2,3,2
Y023_5_UV_Pool1,1,1,2
Y023_5_UV_Pool2,1,2,2
Y023_5_UV_Pool3,1,3,2
E05_VIS_Pool1,2,1,3
E05_VIS_Pool2,2,2,3
E05_VIS_Pool3,2,3,3
E05_UV_Pool1,1,1,3
E05_UV_Pool2,1,2,3
E05_UV_Pool3,1,3,3
R2_VIS_Pool1,2,1,4
R2_VIS_Pool2,2,2,4
R2_VIS_Pool3,2,3,4
R2_UV_Pool1,1,1,4
R2_UV_Pool2,1,2,4
R2_UV_Pool3,1,3,4
