sample,treatment,genotype
Tol_VIS_Pool1,VIS,Tol
Tol_VIS_Pool2,VIS,Tol
Tol_VIS_Pool3,VIS,Tol
Tol_UV_Pool1,UV,Tol
Tol_UV_Pool2,UV,Tol
Tol_UV_Pool3,UV,Tol
Tol_5_VIS_Pool1,VIS,Tol
Tol_5_VIS_Pool2,VIS,Tol
Tol_5_VIS_Pool3,VIS,Tol
Tol_5_UV_Pool1,UV,Tol
Tol_5_UV_Pool2,UV,Tol
Tol_5_UV_Pool3,UV,Tol
NTol_VIS_Pool1,VIS,NTol
NTol_VIS_Pool2,VIS,NTol
NTol_VIS_Pool3,VIS,NTol
NTol_UV_Pool1,UV,NTol
NTol_UV_Pool2,UV,NTol
NTol_UV_Pool3,UV,NTol
NTol_VIS_Pool1,VIS,NTol
NTol_VIS_Pool2,VIS,NTol
NTol_VIS_Pool3,VIS,NTol
NTol_UV_Pool1,UV,NTol
NTol_UV_Pool2,UV,NTol
NTol_UV_Pool3,UV,NTol
