gene	Y05_VIS_Pool1	Y05_VIS_Pool2	Y05_VIS_Pool3	Y05_UV_Pool1	Y05_UV_Pool2	Y05_UV_Pool3	Y023_5_VIS_Pool1	Y023_5_VIS_Pool2	Y023_5_VIS_Pool3	Y023_5_UV_Pool1	Y023_5_UV_Pool2	Y023_5_UV_Pool3	E05_VIS_Pool1	E05_VIS_Pool2	E05_VIS_Pool3	E05_UV_Pool1	E05_UV_Pool2	E05_UV_Pool3	R2_VIS_Pool1	R2_VIS_Pool2	R2_VIS_Pool3	R2_UV_Pool1	R2_UV_Pool2	R2_UV_Pool3
gene14364	708	976	456	906	885	414	601	322	205	731	374	518	444	605	460	348	748	892	358	339	802	382	496	670
gene14812	0	0	2	0	0	0	4	1	2	2	3	1	1	0	0	0	0	0	4	3	1	1	0	2
gene14366	361	444	181	245	283	195	312	137	117	332	218	235	239	241	278	129	334	325	166	142	310	132	138	197
gene14367	596	877	345	801	678	261	515	238	169	554	267	430	386	527	348	256	565	762	299	282	509	224	310	366
gene14360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene14817	1	1	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0
gene14362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene14363	158	142	93	138	184	178	159	61	95	178	118	81	148	106	228	114	216	169	148	114	430	189	212	242
gene14818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
gene14819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene14368	11	17	8	12	8	9	12	5	9	7	8	7	9	16	27	7	14	19	20	14	21	15	21	16
gene14369	693	922	401	800	735	429	571	299	253	674	404	528	398	525	477	342	647	790	328	293	672	377	393	544
gene12245	5	1	3	5	4	1	1	1	0	1	1	1	2	2	2	0	2	2	2	0	3	4	2	4
gene12244	159	116	65	87	96	107	112	65	73	137	91	78	105	102	173	62	149	116	101	97	220	106	85	142
gene12247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12246	21	27	13	28	22	16	22	6	14	25	11	18	8	14	11	15	22	13	5	3	12	1	1	5
gene12241	12	168	25	32	11	49	227	61	143	179	77	97	5	24	2	14	4	6	110	131	92	22	63	85
gene12240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene12243	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	1	1	2	0	2	0	1	1	0
gene12242	115	64	42	96	92	23	58	57	55	82	33	46	54	65	133	29	91	111	41	40	72	38	33	40
gene14816	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0
gene7094	1	4	2	4	7	0	2	0	3	4	1	2	3	2	1	1	1	6	3	3	6	2	1	4
gene12249	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0
gene12248	18	17	10	11	19	10	22	10	15	25	5	39	14	45	13	5	18	17	25	33	44	22	9	28
gene14361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene4494	2835	2478	1613	2358	2498	1987	2666	1401	1468	3164	1836	1797	1652	2130	2619	1170	2708	2518	2211	1954	4566	2328	2123	3279
gene4495	3854	3127	1539	2335	2610	2016	2803	1197	1285	3904	1509	2082	2214	2555	3111	1201	2819	2529	1704	1263	4659	1642	1456	2862
gene4496	5166	4983	2359	3832	3122	2574	2966	1448	1419	3425	2253	2200	3032	3503	4134	2008	4666	4085	2475	2171	5088	2316	2325	3422
gene4497	401	361	219	326	368	260	309	201	188	397	251	218	224	270	297	179	311	363	289	253	556	284	321	411
gene4490	333	347	174	255	263	238	194	104	94	242	147	172	187	199	238	135	228	301	158	129	388	204	185	253
gene14814	1	0	0	0	0	1	1	1	0	1	0	1	3	1	6	1	1	2	0	0	0	0	0	0
gene4492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene4493	501	512	288	280	339	266	416	263	245	373	242	271	446	423	571	165	450	334	331	240	469	179	149	227
gene14815	4	31	33	2	16	1	1	0	3	0	0	10	4	0	0	0	1	0	10	0	4	1	4	1
gene4498	28	16	11	18	16	14	11	4	9	24	8	10	14	18	14	7	19	21	17	11	34	19	11	17
gene4499	129	90	63	94	88	79	122	45	55	117	56	56	68	69	101	45	112	108	52	49	129	61	67	88
gene7555	284	375	174	236	290	221	218	117	139	296	169	198	222	175	323	106	280	318	147	112	349	163	164	212
gene15811	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
gene9310	863	1074	495	923	859	553	756	363	289	842	504	589	490	737	717	428	791	943	433	447	1021	536	623	763
gene15810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene15526	72	93	57	49	51	40	70	35	41	59	34	39	28	25	39	12	25	32	57	65	109	48	40	63
gene15813	14792	18089	7647	13307	12226	8295	10030	4674	4369	11566	7152	7577	9507	11687	12267	5972	13538	14826	8154	6391	16847	7490	7716	9999
gene6738	1520	2110	636	1988	2245	479	714	379	197	1648	835	1285	185	214	298	294	849	653	1097	1088	3029	2723	2311	3845
gene564	215	262	148	218	195	192	197	90	88	218	167	123	129	181	225	120	194	186	148	112	305	184	151	212
gene15812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene9172	2152	1860	1139	1839	1764	1445	1860	973	1082	2190	1502	1298	1238	1499	2245	958	1925	1797	1427	1272	2647	1577	1322	2086
gene15815	272	341	152	212	179	137	365	158	113	227	116	232	133	116	223	132	214	173	91	86	250	98	91	188
gene6440	17	21	10	10	11	15	9	7	11	15	9	12	6	5	6	2	8	5	0	0	3	0	0	1
gene15814	261	96	154	309	477	121	112	319	172	374	335	309	228	588	540	81	122	279	230	244	201	310	262	200
gene3118	60	84	31	55	63	48	54	29	31	51	34	50	43	33	39	22	54	60	41	38	71	37	40	60
gene3119	242	274	124	177	162	117	197	96	91	178	128	135	171	201	216	111	211	200	196	186	376	144	175	242
gene4728	787	656	415	728	743	503	672	333	309	891	398	497	514	655	680	409	833	842	458	418	958	566	572	872
