sample,treatment,genotype
HT1_VIS_Pool1,VIS,HT1
HT1_VIS_Pool2,VIS,HT1
HT1_VIS_Pool3,VIS,HT1
HT1_UV_Pool1,UV,HT1
HT1_UV_Pool2,UV,HT1
HT1_UV_Pool3,UV,HT1
HT2_VIS_Pool1,VIS,HT2
HT2_VIS_Pool2,VIS,HT2
HT2_VIS_Pool3,VIS,HT2
HT2_UV_Pool1,UV,HT2
HT2_UV_Pool2,UV,HT2
HT2_UV_Pool3,UV,HT2
LT1_VIS_Pool1,VIS,LT1
LT1_VIS_Pool2,VIS,LT1
LT1_VIS_Pool3,VIS,LT1
LT1_UV_Pool1,UV,LT1
LT1_UV_Pool2,UV,LT1
LT1_UV_Pool3,UV,LT1
LT2_VIS_Pool1,VIS,LT2
LT2_VIS_Pool2,VIS,LT2
LT2_VIS_Pool3,VIS,LT2
LT2_UV_Pool1,UV,LT2
LT2_UV_Pool2,UV,LT2
LT2_UV_Pool3,UV,LT2
