sample,treatment,genotype
Y05_VIS_Pool1,VIS,HT1
Y05_VIS_Pool2,VIS,HT1
Y05_VIS_Pool3,VIS,HT1
Y05_UV_Pool1,UV,HT1
Y05_UV_Pool2,UV,HT1
Y05_UV_Pool3,UV,HT1
Y023_5_VIS_Pool1,VIS,HT2
Y023_5_VIS_Pool2,VIS,HT2
Y023_5_VIS_Pool3,VIS,HT2
Y023_5_UV_Pool1,UV,HT2
Y023_5_UV_Pool2,UV,HT2
Y023_5_UV_Pool3,UV,HT2
E05_VIS_Pool1,VIS,LT1
E05_VIS_Pool2,VIS,LT1
E05_VIS_Pool3,VIS,LT1
E05_UV_Pool1,UV,LT1
E05_UV_Pool2,UV,LT1
E05_UV_Pool3,UV,LT1
R2_VIS_Pool1,VIS,LT2
R2_VIS_Pool2,VIS,LT2
R2_VIS_Pool3,VIS,LT2
R2_UV_Pool1,UV,LT2
R2_UV_Pool2,UV,LT2
R2_UV_Pool3,UV,LT2
